"title","field_expo_lieu_value","field_expo_type_value","field_expo_dates_value","field_expo_dates_value2","field_expo_curator_value","field_expo_code_value","field_expo_note_value","field_expo_sous_titre_value","field_oeuvre_adresse_web_url","filenames"
"Flux numériques","Eric Linard Galerie, Le Val des Nymphes, 26700 La Garde Adhemar (FRA)","perso","2000-05-06T00:00:00","2000-06-30T00:00:00",NULL,"2000-E-ADHEMAR","Vernissage en présence de l'artiste et signature de son catalogue monographique",NULL,NULL,"2000-e-gardeadhemarv.jpg"
"Flux végétal","Espace d'art Actua d'Attijariwafa bank, Casablanca (MAR)","groupe","2005-01-01T00:00:00","2005-01-01T00:00:00",NULL,"2005-E-CASABLANCA","Avec Najia Méhadji",NULL,NULL,NULL
"Flux végétal","Galerie Delacroix, IFT, Tanger (MAR)","groupe","2006-01-01T00:00:00","2006-01-01T00:00:00",NULL,"2006-E-TANGER","Avec Najia Méhadji",NULL,NULL,NULL
"Forces et mouvements","Galerie François Léage, 178 rue du Faubourg Saint-Honoré, 75008 Paris (F)","groupe","2018-09-11T00:00:00","2018-11-16T00:00:00","Louis Amar","2018-E-PARISLEAGE2",NULL,NULL,NULL,NULL
"Fractal Art ","Villa Tamaris, Avenue de la Grande Maison - 83500 La Seyne-sur-Mer","groupe","1999-03-26T00:00:00","1999-05-30T00:00:00",NULL,"1999-E-SEYNE/S/MER",NULL,NULL,NULL,NULL
"Fractal Flowers","\"Salon international du Meuble\", Boffi, Milan (ITA)","perso","1950-01-01T00:00:00","1950-01-01T00:00:00","-","2009-E-MILANBOFFI","-",NULL,NULL,"2009-e-milanboffi-2.jpg,2009-e-milanboffi-1.jpg,2009-e-milanboffi-9.jpg,2009-e-milanboffi-8.jpg,2009-e-milanboffi-7.jpg,2009-e-milanboffi-6.jpg,2009-e-milanboffi-5.jpg,2009-e-milanboffi-4.jpg,2009-e-milanboffi-3.jpg"
"Fractal Flowers","Atelier Ivry","perso","1950-01-01T00:00:00","1950-01-01T00:00:00","-","2008-E-IVRYFF","-","-",NULL,"2008-e-ivryff-1.jpg,2008-e-ivryff-2.jpg,2008-e-ivryff-3.jpg,2008-e-ivryff-4.jpg,2008-e-ivryff-5.jpg,2008-e-ivryff-6.jpg"
"Fractal Flowers","Boffi Bains Paris, Paris (FRA)","perso","2008-01-01T00:00:00","2008-01-01T00:00:00",NULL,"2008-E-PARISBOFFI","Installation interactive, Boffi Bains Paris, Designer's day, Paris.","-",NULL,"2008-e-parisboffi-4.jpg,2008-e-parisboffi-1.jpg,2008-e-parisboffi-2.jpg,2008-e-parisboffi-3.jpg"
"Fractal Flowers","Façade de l'Eglise d'Enghien-les-Bains (FRA)","perso","2008-01-01T00:00:00","2008-01-01T00:00:00",NULL,"2008-E-ENGHIENFF",NULL,NULL,NULL,"2008-e-enghienff-2.jpg,2008-e-enghienff-3.jpg,2008-e-enghienff-4.jpg,2008-e-enghienff-5.jpg,2008-e-enghienff-6.jpg,2008-e-enghienff-1.jpg"
"Fractal Flowers","Nuit Blanche, East - Slovakian Gallery, Kosice (SVN)","perso","2011-10-01T00:00:00","2011-10-02T00:00:00",NULL,"2011-E-FFKOSICE","L'exposition Fractal Flowers 2011 pour la East - Gallery de Kosice en Slovaquie consistait dans un seul oeuvre et ne durait u'une seule nuit, une nuit blanche, notamment celle du 01/10.",NULL,NULL,"2011-ff-kosice3.jpg"
"Fractal Flowers","Seoul","perso","1950-01-01T00:00:00","1950-01-01T00:00:00","-","2008-E-SEOULFF","-","-",NULL,"2008-e-seoulff-2.jpg,2008-e-seoulff-3.jpg,2008-e-seoulff-1.jpg,2008-e-seoulff-6.jpg,2008-e-seoulff-7.jpg,2008-e-seoulff-4.jpg,2008-e-seoulff-5.jpg"
"Fractal Flowers","Station de métro Galeria, Brasilia (BRA)","perso","1950-04-19T00:00:00","1950-04-19T00:00:00","-","2009-E-BRASILIAMETRO","-",NULL,NULL,"2009-e-brasiliametro-7.jpg,2009-e-brasiliametro-6.jpg,2009-e-brasiliametro-5.jpg,2009-e-brasiliametro-4.jpg,2009-e-brasiliametro-1.jpg,2009-e-brasiliametro-2.jpg,2009-e-brasiliametro-3.jpg"
"Fractal Flowers","Tri Postal, Lille (FRA)","perso","1950-01-01T00:00:00","1950-01-01T00:00:00","-","2010-E-LILLE","-","-",NULL,"2010-e-lille-5.jpg,2010-e-lille-4.jpg,2010-e-lille-3.jpg,2010-e-lille-2.jpg,2010-e-lille-1.jpg"
"Fractal Flowers - Marinha Grande","International Biennial of Art & Industrial Design, parque municipal de exposicoes de Marinha Grande (POR)","perso","2010-10-22T00:00:00","2010-10-31T00:00:00",NULL,"2010-E-MARINHAGRANDE","Dans le cadre de la Biennale Internationale d'Arts Plastiques de Marinha Grande Miguel Chevalier a présenté un nouveau jardin virtuel \"Fractal Flowers\". Ce jardin est composé de 15 fleurs géantes fractales aux multiples couleurs et formes projetées sur un écran de 30 mètres de longueur par 8 mètres de hauteur. ",NULL,NULL,"2010-e-marinhagrande-1.jpg,2010-e-marinhagrande-2.jpg,2010-e-marinhagrande-3.jpg,2010-e-marinhagrande-4.jpg,2010-e-marinhagrande-5.jpg,2010-e-marinhagrande-6.jpg"
"Fractal Flowers 2009","iMAL (Center for Digital Cultures and Technology), 30 quai des charbonnages (Koolmijnenkaai 30), 1080 Bruxelles (BEL)","perso","2009-04-23T00:00:00","2009-05-03T00:00:00","Yves Bernard","2009-E-BRUXELLESIMAL","«Les Fractal Flowers présentées à iMAL s’inscrivent dans une démarche initiée par Miguel Chevalier au début des années 2000, et qui englobe sous le titre Autres Natures une grande variété de réalisations. Toutes ont comme point de départ l’observation du règne végétal, et sa transposition dans l’univers numérique.

Comme l’a souligné Lev Manovich, le propre de l’œuvre numérique est de reposer sur un code, susceptible d’être interprété différemment selon les logiciels. L’exposition des Fractal Flowers à iMAL illustre pleinement ce principe de variabilité : ainsi les mêmes données sont-elles utilisées pour produire des images animées interactives, des images imprimées, ou encore des formes tridimensionnelles, véritables « sculptures numériques » obtenues par stéréo-lithographie.

Au-delà de leurs qualités esthétiques et ludiques, les Fractal Flowers questionnent le statut de l’œuvre d’art à l’ère du numérique et, sur un mode poétique et métaphorique, les enjeux de la manipulation génétique : nul ne peut prédire ce que produiront ces « fleurs fractales » libres de se croiser et de se reproduire à l’infini... »

","-",NULL,"2009-e-bruxellesimal-16.jpg,2009-e-bruxellesimal-15.jpg,2009-e-bruxellesimal-14.jpg,2009-e-bruxellesimal-13.jpg,2009-e-bruxellesimal-12.jpg,2009-e-bruxellesimal-11.jpg,2009-e-bruxellesimal-10.jpg,2009-e-bruxellesimal-9.jpg,2009-e-bruxellesimal-8.jpg,2009-e-bruxellesimal-7.jpg,2009-e-bruxellesimal-6.jpg,2009-e-bruxellesimal-5.jpg,2009-e-bruxellesimal-4.jpg,2009-e-bruxellesimal-3.jpg,2009-e-bruxellesimal-2.jpg,2009-e-bruxellesimal-1.jpg"
"Fractal Flowers 2013","Château de la Cité de Carcassonne (FRA)","perso","2013-10-14T00:00:00","2013-10-14T00:00:00",NULL,"2013-E-CARCASSONNE",NULL,NULL,NULL,NULL
"Fractal Flowers Bubble","Ambassade de France, Brasilia (BRA)","perso","1950-01-01T00:00:00","1950-01-01T00:00:00","-","2009-E-BRASILIA","-",NULL,NULL,"2009-e-brasilia-4.jpg,2009-e-brasilia-3.jpg,2009-e-brasilia-2.jpg,2009-e-brasilia-1.jpg"
"Fractal Flowers in vitro","Musée de la Chasse et de la Nature, Paris (FRA)","perso","1950-01-01T00:00:00","1950-01-01T00:00:00","-","2009-E-PARISMCHASSE","-","-",NULL,"2009-e-parismchasse-9.jpg,2009-e-parismchasse-1.jpg,2009-e-parismchasse-2.jpg,2009-e-parismchasse-3.jpg,2009-e-parismchasse-4.jpg,2009-e-parismchasse-5.jpg,2009-e-parismchasse-6.jpg,2009-e-parismchasse-7.jpg,2009-e-parismchasse-8.jpg"
"Fractal Flowers in vitro","Parvis de la Mairie du 4e, Paris (FRA)","perso","2008-01-01T00:00:00","2008-01-01T00:00:00",NULL,"2008-E-PARISMAIRIEDU4",NULL,NULL,NULL,"2008-e-parismairiedu4-1.jpg,2008-e-parismairiedu4-2.jpg,2008-e-parismairiedu4-4.jpg,2008-e-parismairiedu4-3.jpg"
"Fractal Flowers in vitro","Sanat Limani, Istanbul (TUR)","perso","1950-01-01T00:00:00","1950-01-01T00:00:00","-","2010-E-ISTANBUL","-","-",NULL,"2010-e-istanbul-1.jpg,2010-e-istanbul-2.jpg,2010-e-istanbul-6.jpg,2010-e-istanbul-5.jpg,2010-e-istanbul-4.jpg,2010-e-istanbul-3.jpg"
"Fractal Flowers in vitro","Université du Bosphore, Istanbul (TUR)","perso","2010-11-05T00:00:00","2010-12-05T00:00:00",NULL,"2010-E-ISTANBULUNI","La serre a été montée d'abord à Sanat Limani du 05/11/2010 au 15/11/2010 et ensuite à Kuzey Kampüsü (à l'université de Bogaziçi) du 25/11/2010 au 05/12/2010.",NULL,NULL,"2010-e-istanbulinvitv.jpg,2010-e-istanbuluni-4.jpg,2010-e-istanbuluni-3.jpg,2010-e-istanbuluni-2.jpg,2010-e-istanbuluni-1.jpg"
"Fractal Flowers in vitro PARIS CHASSE","Musée de la Chasse et de la Nature, Hôtel de Mongelas, 62, rue des Archives, Paris 75003","perso","2009-09-22T00:00:00","2010-01-03T00:00:00","Claude d'Anthenaise","2009-E-FFMUSEECHASSE","Exposition réalisée avec la collaboration du compositeur Jacopo Baboni Schilingi et du parfumeur Annick Menardo.
Miguel Chevalier présente au Musée de la chasse et de la nature, Fractal Flowers in vitro, 2009. Cette installation virtuelle interactive multidimensionnelle réalisée avec la collaboration de Jacopo Baboni Schilingi, compositeur et Annick Menardo, parfumeur, aborde la question très présente dans l'imaginaire contemporain d'une nature totalement artificielle, fantasmée et fabriquée par l'homme. La vue est le premier des sens à être activé, avec une mini-serre sur les parois de laquelle est projetée une étrange nature en perpétuel devenir: les Fractal Flowers, plantes improbables qui croissent en meurent à vue d'oeil et répondent aux mouvements des spectateurs. ce mystérieux ballet végétal est accompagné de la musique créée spécialement par Jacopo Baboni Schilingi. Après l'image et le son, l'oeuvre est enrichie grâce à la perception olfactive créée par Annick Menardo ajoutant à la réalité de la matière et du virtuel, une espace odorant. En complément de cette installation est exposé au deuxième étage du musée, Herbarius 2059, nouvelle création de réalité virtuelle réalisée en collaboration avec l'écrivain Jean-Pierre Balpe. Herbarius 2059 possède encore l'aspect d'un livre mais mêle réel et virtuel, et présente des textes et images générés en temps réel. Le prototype de l'Herbarius 2059 est un hymne à l'hybridation, et nous ouvre la porte d'un imaginaire intemporel. Il nous entraîne vers ce que pourrait être une bibliophilie du XXIe siècle.
Le vernissage eut lieu le lundi 21/09/2009 du 19h à 22h.","-",NULL,NULL
"Fractal Flowers PARIS TARASIEVE","Galerie Suzanne Tarasiève, 171 rue du Chevaleret, 75013 Paris (FRA)","perso","2008-12-13T00:00:00","2009-01-10T00:00:00","Galerie Suzanne Tarasiève","2008-E-PARISTARASIEVE","Le vernissage eut lieu le 13/12/2018. A l'occasion Miguel Chevalier signa son nouveau livre paru aux éditions Monografik. ","-",NULL,"2008-e-ffparistarasiever.png,2008-e-ffparistarasievev.png,2008-e-paristarasieve-8.jpg,2008-e-paristarasieve-7.jpg,2008-e-paristarasieve-6.jpg,2008-e-paristarasieve-5.jpg,2008-e-paristarasieve-4.jpg,2008-e-paristarasieve-3.jpg,2008-e-paristarasieve-2.jpg,2008-e-paristarasieve-1.jpg"
"Fractalisations","Villa Tamaris, Avenue de la Grande Maison, 83500 La Seyne-sur-Mer (FRA)","groupe","1999-03-27T00:00:00","1999-05-31T00:00:00","Susan Condé et Henri-François Debailleux","1999-E-SEYNESURMER",NULL,NULL,NULL,NULL
"Fractalisations II","Abbaye du Ronceray, Angers (FRA)","groupe","1999-01-01T00:00:00","1999-01-01T00:00:00",NULL,"1999-E-ANGERS",NULL,NULL,NULL,NULL
"Frimousses de Créateurs 2010 pour l'Unicef","Petit Palais, Paris (FRA)","groupe","2010-01-01T00:00:00","2010-01-01T00:00:00",NULL,"2010-E-PARISPPALAIS",NULL,NULL,NULL,NULL
"Frontières","Galerie Le Chanjour, 11, quai des Deux-Emmanuel 06300 Nice (FRA)","groupe","1989-03-08T00:00:00","1989-03-31T00:00:00","Christine Le Chanjour en collaboration avec Serge Aboukrat","1989-E-NICE1",NULL,NULL,NULL,"1989-e-nice1v.jpg"
"GAINSB'ART et caetera2019-E-LILLE","Art to Be Gallery, 44 rue Saint-André, Lille (FRA)","groupe","2019-06-21T00:00:00","2019-07-21T00:00:00","Art to Be Gallery","2019-E-LILLE",NULL,"Roberto Battistini & Cie",NULL,"2019-e-lille1.jpg,2019-e-lilleverso.jpg"
"Gainsbourg still alive - Roberto Battistini","Maison de ventes Cornette de Saint Cyr, 6 avenue Hoche, 75008- Paris (FRA)","groupe","2017-01-14T00:00:00","2017-01-21T00:00:00","Françoise Adamsbaum","2017-E-PARISCORNETTESAINTCYR","-","-",NULL,NULL
"Galerie Charles Cartwright","Salon des indépendants, Paris","groupe","1988-01-01T00:00:00","1988-01-01T00:00:00",NULL,"1988-E-PARISCARTWRIGHT",NULL,NULL,NULL,NULL
"Galerie de l'Ecole nationale supérieure des beaux-arts","Galerie de l'Ecole nationale supérieure des beaux-arts, Paris","groupe","1982-01-01T00:00:00","1982-01-01T00:00:00",NULL,"1982-E-PARISENSBA",NULL,NULL,NULL,NULL
"Galerie de l'ENSBA","Galerie de l'ENSBA","groupe","1984-01-01T00:00:00","1984-01-01T00:00:00",NULL,"1984-E-NEWYORK",NULL,NULL,NULL,NULL
"Galerie de l'ENSBA","Galerie de l'ENSBA, Grand Masse, Paris","groupe","1984-01-01T00:00:00","1984-01-01T00:00:00",NULL,"1984-E-PARISENSBA",NULL,NULL,NULL,NULL
"Galerie Jade","Galerie Jade, International art fair, Basel","perso","1988-01-01T00:00:00","1988-01-01T00:00:00","-","1988-E-BASEL","-",NULL,NULL,NULL
"Game over","Festival Tucano Art, Rio de Janeiro (BRA)","groupe","1989-01-01T00:00:00","1989-01-01T00:00:00",NULL,"1989-E-RIODEJANEIRO",NULL,NULL,NULL,NULL
"Géométrie dans l'espace","Espace Topographie de l'art, 15 rue de Thorigny, 75003 - Paris","groupe","2017-03-29T00:00:00","2017-06-14T00:00:00","Françoise Paviot","2017-E-PARISTOPOGRAPHIE1","Dans le cadre du Mois de la Photo du Grand Palais 2017",NULL,NULL,NULL
"Géométrie hors limites","Maison de l'Amérique Latine, Paris (FRA)","groupe","2010-01-01T00:00:00","2010-01-01T00:00:00",NULL,"2010-E-PARISMLATINE","Géométrie hors limites. Collection Jean et Colette Cherqui",NULL,NULL,NULL
"GROUP SHOW 2019","Podgorny Robinson Gallery Place de Gaulle 06570 Saint-Paul-de-Vence","groupe","2019-07-01T00:00:00","2019-09-15T00:00:00",NULL,"2019-E-SAINTPAULDEVENCE","Artistes: Arik Levy / Bernard Bezzina / Miguel Chevalier / Sam Francis / Zoe Ouvrier / Nicolas Sanhes",NULL,NULL,NULL
"Habiter les réseaux","Galerie de l'esplanade de l'Ecole des beaux-arts, 1 rue de citadelle, 57000 Metz (FRA)","groupe","1999-07-23T00:00:00","1999-08-31T00:00:00",NULL,"1999-E-METZ","christian globensky > musique; claude micheli (SDI) > logiciel; pascal dombis

\"Habiter les réseaux\" est une exposition regroupant plusieurs œuvres autour d'une installation principale créée spécialement par Miguel Chevalier. Cette pièce interactive de réalité virtuelle propose une nouvelle vision des réseaux informatiques. ",NULL,NULL,NULL
"Habiter les réseaux","Galerie Odéon 5, Paris (FRA)","perso","2005-01-01T00:00:00","2005-01-01T00:00:00",NULL,"2005-E-PARISODEON",NULL,NULL,NULL,NULL
"Habiter les réseaux","Kunstverket Galleri, Oslo (NOR)","perso","2005-01-01T00:00:00","2005-01-01T00:00:00","Kunstverket Galleri","2005-E-OSLO","Habiter les réseaux (Levende Nettverk), Kunstverket Galleri.",NULL,NULL,"2005-e-oslotx.jpg,2005-e-osloinvitv.jpg"
"Habiter les réseaux","Palais des Congrès de Paris, 2 place de la porte Maillot, 75017 Paris","perso","2000-10-04T00:00:00","2099-10-04T00:00:00",NULL,"2000-E-PARISCONGRES","Oeuvre permanente/Architecte: Christian de Portzamparc",NULL,NULL,NULL
"Harper's Bazaar Art Jakarta","Ballroom The Ritz-Carlton Jakarta Pacific Place, Sudirman Central Business District (SCBD) Jalan Jenderal Sudirman No.52-53  Jakarta 12190  Indonesia","groupe","2015-08-27T00:00:00","2015-08-30T00:00:00","Galerie Puerta Roja","2015-E-JAKARTA","A côté de celles de Miguel Chevalier, la galerie Puerta Roja présenta à l'occasion aussi des oeuvres de Javier León Pérez.
Le vernissage eut lieu le 27/08/2015 à 19.00 heures.",NULL,NULL,NULL
"Herbarius 2059","Pavillon des Arts et du Design, Paris (France)","perso","2011-01-01T00:00:00","2011-01-01T00:00:00",NULL,"2011-E-PARISPAD","Herbarius 2059, PAD, 15e Pavillon des Arts et du Design, Galerie Priveekollektie (NLD), Tuileries, Paris ",NULL,NULL,"2011-e-parispad-2.jpg,2011-e-parispad-1.jpg"
"Historical present and future","Priveekollektie Contemporary Art | Design, Heusden aan de Maas (NLD)","groupe","2010-01-01T00:00:00","2010-01-01T00:00:00",NULL,"2010-E-PRIVEEKOLLEKTIE",NULL,NULL,NULL,NULL
"Hold the line","Galerie Seine 51, Paris (FRA)","groupe","2010-01-01T00:00:00","2010-01-01T00:00:00",NULL,"2010-E-PARIS51SEINE",NULL,NULL,NULL,NULL
"Homage to Denise René","Espace Expression, Miami ","groupe","2013-12-03T00:00:00","2014-03-29T00:00:00",NULL,"2013-E-MIAMIEE",NULL,NULL,NULL,NULL
"Hommes et femmes de l'espace","La Coupole, Centre d'Histoire et de Mémoire du Nord-Pas-de-Calais","groupe","2011-04-12T00:00:00","2011-12-18T00:00:00","Bruno Decriem","2011-E-PASDECALAIS","Composée de 15 panneaux et complétée d'oeuvres d'art de Picasso, Chagall, Brueghel, ou encore Matisse, sur le mythe  d'Icare, cette exposition retrace la plus formidable aventure humaine du XXe siècle, dont la réalité dépasse l'imagination des artistes.","Les premiers \"Homo Icarus\"",NULL,NULL
"Hortus 2.0","Musée Louis Vouland, 17 rue Vicotr Hugo, 84000 Avignon (FRA)","groupe","2017-06-02T00:00:00","2017-08-27T00:00:00","Organisé par l'EDIS pour l'Art","2017-E-AVIGNON","Artistes: Hicham Berrada, Vincent Broquaire, France Cadet, Miguel Chevalier, Edmond Couchot & Michel Bret, Betrand Gadenne, Laurent Pernod, Quayola, Scénocosme, Antoine Schmitt, Momoko Seto",NULL,NULL,NULL
"Hybride Art - Codes - Barres","Musée Français de la Carte à Jouer, Issy-les-Moulineaux (FRA)","groupe","2003-01-01T00:00:00","2003-01-01T00:00:00",NULL,"2003-E-ISSYLESMOULINEAUX",NULL,NULL,NULL,NULL
"Icono. L'Image de synthèse point par point","Le Grand Hornu, Mons (BEL)","groupe","1994-01-01T00:00:00","1994-01-01T00:00:00",NULL,"1994-E-MONS",NULL,NULL,NULL,NULL
"Iconomania","Maif Social Club, 37 rue de Turenne, 7503 - Paris (FRA)","groupe","2017-01-13T00:00:00","2017-03-31T00:00:00","Florence Guinneau-Joie","2017-E-PARISMAIF","De la peinture aux arts numériques, l'exposition s'interroge sur la place et le traitement de l'image dans nos sociétés contemporaines, à travers quinze artistes, de Samuel Bianchini à Du Zehnjun, de Philippe Cognée à Miguel Chevalier.","Maif Social Club",NULL,NULL
"Il était une fois…","Galerie Numeriscausa, Paris (FRA)","groupe","2007-01-01T00:00:00","2007-01-01T00:00:00",NULL,"2007-E-PARISNUMERISCAUSA",NULL,NULL,NULL,NULL
"Illusion Natur","Museum Sinclair-Haus, Bad Homburg v. d. Höhe (D)","groupe","2019-11-10T00:00:00","2020-02-02T00:00:00",NULL,"2019-E-BADHOMBURG","https://www.museumsinclairhaus.de/ausstellungen/vorschau/illusion-natur/

Les médias numériques sont devenus une partie indispensable du monde actuel et ont une influence décisive sur la réalité de la vie des gens au XXIe siècle. Cependant, les bases techniques de leur développement remontent loin dans le siècle dernier: l'ordinateur a été développé dans les années 1940 comme une machine qui était principalement destinée à résoudre des opérations arithmétiques complexes et n'était pas initialement prévu comme un outil artistique. Cependant, dans les années 1960, lorsque les premiers graphismes picturaux ont été réalisés à l'ordinateur, il est rapidement tombé dans le rayon des possibilités artistiques. Avec les premiers dessins assistés par ordinateur, nous avons jeté les bases d'une nouvelle génération d'images qui, depuis lors, n'a cessé de modifier notre conception de l'esthétique. Dans l'exposition \"Illusion Nature. Digital Worlds\", le Musée Sinclair-Haus présente des œuvres d'artistes contemporains dont les compositions numériques abordent un thème traditionnel de l'art - la nature. Des lieux de nostalgie virtuellement composés émergent, mais dont l'idylle est sans cesse brisée par l'hyperréalité de l'animation artificielle. Les mondes numériques semblent à la fois étranges et familiers. Avec leurs œuvres, les artistes explorent la frontière entre réalité et image et questionnent la perception humaine du monde. L'exposition présente des œuvres numériques sur le thème de la \"nature\" des années 1980 à nos jours.


Avec des œuvres de Arno Beck, Eelco Brand, Miguel Chevalier, Driessens & Verstappen, Joanie Lemercier, Vera Molnár, Casey Reas, Michael Reisch, Laurent Mignonneau & Christa Sommerer, Studer/van den Berg, Jennifer Steinkamp, Tamiko Thiel","Digitale Welten",NULL,NULL
"Images du futur","Cité des arts et des nouvelles technologies, Montréal","groupe","1986-01-01T00:00:00","1986-01-01T00:00:00",NULL,"1986-E-MONTREAL",NULL,NULL,NULL,NULL
"Images furtives","Abbaye du Ronceray, Angers (FRA)","groupe","2000-10-06T00:00:00","2000-11-12T00:00:00","Claudine Chevalier, action culturelle","2000-E-ANGERS",NULL,NULL,NULL,NULL
"Images nouvelles","Granit, Centre d'art contemporain, 1 fg de Montbéliard 90000, Belfort","perso","1987-01-17T00:00:00","1987-03-10T00:00:00","Etienne Gamelon","1987-E-BELFORT","Le vernissage eut lieu le samedi 17 janvier à 18h30.",NULL,NULL,"1987-e-belfortv.png,1987-e-belfort-d.jpg,1987-e-belfort-c.jpg,1987-e-belfort-b.jpg,1987-e-belfort-a.jpg"
"Immaterial / Re-material: A Brief History of Computing Art","UCCA Center for Contemporary Art, Beijing (CHINE)","groupe","2020-09-29T00:00:00","2021-01-17T00:00:00","Jérôme Neutres","2020-E-BEIJING","UCCA presents “Immaterial / Re-material,” a group exhibition tracing the history, present, and future of computing art through more than 70 artworks by more than 30 artists from around the world, ranging from the pioneers of the 1960s to today’s emerging voices.

Participating artists include aaajiao (b. 1984, Xi’an), Memo Akten (b. 1975, Istanbul), Refik Anadol (b. 1985, Istanbul), Michel Bret (b. 1941, Lyon) and Edmond Couchot (b. 1932, Paris), Celyn Bricker (b. 1989, Liverpool) and Faye Lu (b. 1988, Jilin, China), Miguel Chevalier (b. 1959, Mexico City), Harold Cohen (1928-2016, London), Elias Crespin (b. 1965, Caracas), Fei Yining (b. 1990, Harbin) and Chuck Kuan (b. 1993, Qingdao), John Gerrard (b. 1974, Dublin), Ryoji Ikeda (b. 1966, Gifu, Japan), Peter Kogler (b. 1959, Innsbruck, Austria), Lin Ke (b. 1984, Wenzhou, China), Liu Wa (b. 1994, Beijing), Lu Yang (b. 1984, Shanghai), Laurent Mignonneau (b. 1967, Angoulême, France) and Christa Sommerer (b. 1964, Ohlsdorf, Austria), Manfred Mohr (b. 1938, Pforzheim, Germany), Vera Molnar (b. 1924, Budapest), Leonel Moura (b. 1948, Lisbon), Frieder Nake (b. 1938, Stuttgart, Germany), Michel Paysant (b. 1955, Bouzonville, France), Quayola (b. 1982, Rome), Alan Rath (b. 1959, Cincinnati), Casey Reas (b. 1972, Ohio, USA), Daniel Rozin (b. 1961, Jerusalem), Charles Sandison (b. 1969, Haltwhistle, United Kingdom),  Leo Villareal (b. 1967, Albuquerque, USA), Wang Yuyang (b. 1979, Harbin), and Yang Yongliang (b. 1980, Shanghai).


Présentation de l'exposition: https://ucca.org.cn/en/exhibition/immaterial-re-material-a-brief-history-of-computing-art//

Catalogue de l'exposition: https://imrm.ucca.org.cn/

Partie du catalogue consacrée à Miguel Chevalier: https://imrm.ucca.org.cn/works/2/?artist=%E7%B1%B3%E6%A0%BC%E5%B0%94%C2%B7%E8%88%8D%E7%93%A6%E5%88%A9%E8%80%B6",NULL,NULL,"whzlpwcw.jpeg,330399-4aaace-d1542a.banner.jpg"
"Impression 3D","Le lieu du design, 11 rue de Cambrais, 75019 Paris (FRA)","groupe","2016-04-01T00:00:00","2016-07-09T00:00:00","François Brument","2016-E-PARIS(USINEDUFUTUR)","Présentation de la bague \"Voxels Filaires\", bague en argent 925 de Miguel Chevalier, créée pour la Galerie MiniMasterpiece (Paris)","L'usine du futur",NULL,NULL
"In port in situ","Château-Musée, Boulogne sur Mer (FRA)","groupe","2002-01-01T00:00:00","2002-01-01T00:00:00",NULL,"2002-E-BOULOGNESURMER1",NULL,NULL,NULL,NULL
"In-Out/Paradis artificiels","Domaine régional de Chaumont, 41150 Chaumont-sur-Loire","perso","2017-04-01T00:00:00","2017-11-02T00:00:00",NULL,"2017-E-IN-OUT/CHAUMONT","IN - OUT / Paradis Artificiels est une oeuvre / installation multi-sensorielle inédite de Miguel Chevalier imaginée pour le parc du Domaine de Chaumont-sur-Loire et accompagnée par une musique générative originale de Jacopo Baboni Schilingi.

Une architecture demi-sphérique en bois, recouverte de films holographiques, s'irise au soleil, tel un scarabée géant de 11,34 mètres de diamètre. Selon la luminosité, cette architecture embrasse toutes les couleurs du spectre lumineux et attire le visiteur. Invité à pénétrer dans ce dôme géodésique, le visiteur découvre à l'intérieur d'un second dôme de 8 mètres de diamètre, l'œuvre numérique Trans-Natures, projetée sur les parois à 360°. Assis sur un siège Fatboy, il quitte la réalité et profite de cette expérience d’immersion unique où tous ses sens sont mis en éveil. Trans-Natures explore avec poésie la question du lien entre nature et artifice. Selon une démarche initiée à la fin des années 90, cette oeuvre prend appui sur l’observation du règne végétal et sa transposition imaginaire dans l’univers numérique.

Trans-Natures s'inspire des arborescences, mêle différentes espèces d’arbustes, de feuillages, de fleurs qui rappellent la végétation des sous-bois. Cette nature aux formes parfois réalistes, parfois abstraites, se génère à l’infini. Les plantes naissent aléatoirement, s’épanouissent, avant de disparaître sous les yeux du visiteur. Le jardin se renouvelle et se métamorphose en permanence, enrichi par la musique de Jacopo Baboni Schilingi.

Par cette immersion au cœur de cette architecture demi-sphérique enveloppante, ce monde virtuel reconfigure notre vision du lointain et du proche, ouvre sur l’infini. Les plantes tournoient et s’entrelacent en un mystérieux ballet végétal. La légèreté de leur danse trace les contours d’un jardin, qui comme un microcosme, semble résumer l’évanescence de la beauté et de la vie.

L’installation “In / Out – Paradis Artificiels” est réalisée
en co-production avec le Domaine de Chaumont-sur-Loire,
Grâce au soutien de
Claire et François Durand-Ruel,
Danièle Kapel-Marcovici / Présidente de la Fondation Villa Datris,
Brigitte Lescure et Emmanuel d’André,
Antoine Wargny / Wargny Assurances,
Lélia Mordoch / Galerie Lélia Mordoch – Paris / Miami,
Nicolas Gaudelet / Voxels Productions
Et le partenariat de Fatboy",NULL,NULL,NULL
"Inkjet","Galerie Box, Ostende (BEL)","groupe","2004-01-01T00:00:00","2004-01-01T00:00:00",NULL,"2004-E-OSTENDE",NULL,NULL,NULL,NULL
